magnitude,mmi,sig,nst,dmin,gap,depth,latitude,longitude
7.0,5.0,770.0,270.0,0.0,15.0,30.0,-4.96,133.76
6.8,5.0,710.0,0.0,1.42,19.0,40.0,1.96,126.58
6.7,7.0,830.0,600.0,0.0,13.0,10.0,51.71,95.99
6.6,5.0,670.0,0.0,3.18,18.0,10.0,54.7,163.21
6.6,8.0,2840.0,0.0,0.17,25.0,10.0,42.86,13.1
6.9,5.0,730.0,370.0,0.0,24.0,20.0,2.87,127.46
7.0,6.0,760.0,0.0,1.78,18.0,40.0,-5.7,151.21
7.8,9.0,940.0,370.0,0.0,0.0,10.0,35.95,90.54
7.2,5.0,880.0,140.0,2.49,40.0,240.0,-14.86,-70.31
6.7,3.0,690.0,220.0,0.0,25.0,620.0,52.24,151.44
6.9,6.0,730.0,0.0,3.93,15.0,620.0,-19.8,-178.4
7.7,7.0,920.0,0.0,3.56,13.0,10.0,54.44,168.86
7.8,7.0,1020.0,710.0,0.0,16.0,120.0,-19.99,-69.2
7.2,4.0,1320.0,420.0,0.0,31.0,20.0,41.29,-125.95
6.6,6.0,670.0,460.0,0.0,14.0,100.0,1.88,127.36
6.9,4.0,730.0,0.0,4.02,22.0,10.0,-11.06,163.7
6.6,4.0,670.0,480.0,0.0,30.0,10.0,33.2,137.23
6.7,6.0,690.0,390.0,0.0,26.0,10.0,-11.0,165.66
7.6,7.0,890.0,550.0,0.0,0.0,20.0,18.77,-104.1
6.6,9.0,670.0,550.0,0.0,45.0,10.0,29.0,58.31
7.1,7.0,780.0,260.0,0.0,0.0,90.0,13.09,144.62
7.3,6.0,950.0,0.0,2.63,16.0,210.0,-6.41,129.17
6.6,5.0,700.0,340.0,0.0,14.0,50.0,32.82,140.4
7.3,5.0,990.0,420.0,0.0,37.0,30.0,12.14,-88.59
6.9,6.0,730.0,530.0,0.0,15.0,110.0,-13.5,166.97
6.6,5.0,670.0,0.0,0.51,49.0,20.0,52.63,-168.15
6.7,6.0,690.0,530.0,0.0,22.0,30.0,39.53,73.82
6.9,5.0,740.0,0.0,1.55,16.0,20.0,-61.85,-55.56
6.5,5.0,650.0,0.0,1.94,18.0,10.0,-10.84,161.31
6.5,4.0,650.0,0.0,6.49,17.0,20.0,-56.41,-25.74
7.8,8.0,1160.0,430.0,0.0,17.0,10.0,-45.76,166.56
6.5,6.0,650.0,580.0,0.0,12.0,40.0,-4.65,153.17
7.3,7.0,850.0,400.0,0.0,20.0,20.0,-17.54,168.07
7.5,5.0,1620.0,0.0,4.58,12.0,20.0,17.48,-83.52
7.3,7.0,820.0,670.0,0.0,24.0,20.0,50.04,87.81
6.5,6.0,650.0,0.0,0.74,24.0,20.0,51.56,-174.77
7.2,5.0,800.0,640.0,0.0,28.0,10.0,33.07,136.62
6.6,7.0,780.0,0.0,0.65,24.0,20.0,6.76,125.01
7.8,3.0,950.0,0.0,7.01,20.0,20.0,-4.95,94.33
6.5,7.0,650.0,270.0,0.0,28.0,20.0,-8.22,118.47
7.7,6.0,1810.0,0.0,1.66,26.0,10.0,19.42,-78.76
7.1,8.0,1690.0,0.0,0.98,23.0,50.0,18.55,-98.49
6.6,4.0,730.0,0.0,2.02,18.0,160.0,28.94,128.26
7.6,8.0,1150.0,0.0,0.36,29.0,40.0,-43.41,-73.94
6.5,8.0,650.0,480.0,0.0,0.0,10.0,39.06,24.24
