magnitude,mmi,sig,nst,dmin,gap,depth,latitude,longitude
6.7,6.0,731.0,481.0,0.0,28.6,24.0,14.423,-92.364
7.4,5.0,842.0,138.0,0.0,0.0,225.6,36.502,70.482
6.5,6.0,650.0,0.0,0.735,24.0,20.0,51.5573,-174.767
7.0,9.0,2074.0,0.0,0.349,32.0,10.0,32.7906,130.754
6.9,4.0,738.0,0.0,0.0,0.0,33.3,55.2364,-157.707
6.5,7.0,650.0,371.0,0.0,31.8,10.0,-5.562,122.129
6.8,6.0,714.0,0.0,1.074,23.0,44.0,-5.2005,151.777
6.8,6.0,717.0,0.0,0.791,28.0,15.46,-1.8146,122.58
7.5,8.0,2026.0,0.0,1.649,13.0,20.0,-0.2559,119.846
6.6,4.0,765.0,344.0,0.0,22.6,204.8,36.419,70.743
8.2,7.0,1252.0,0.0,0.0,0.0,35.0,55.3154,-157.829
6.9,6.0,919.0,0.0,2.619,35.0,43.0,38.2296,141.665
6.7,6.0,691.0,243.0,0.0,42.5,17.4,-3.12,127.4
7.6,4.0,896.0,0.0,2.852,10.0,620.56,-10.0598,-71.0184
6.5,6.0,838.0,0.0,0.0,0.0,10.0,49.6388,-127.732
7.8,8.0,1152.0,0.0,0.0,0.0,40.5,-2.52,100.139
6.9,6.0,741.0,0.0,1.487,18.0,35.0,-5.5321,151.5
7.2,6.0,804.0,327.0,0.0,11.7,31.0,-13.698,166.643
7.5,7.0,865.0,321.0,0.0,0.0,31.0,6.033,124.249
7.7,8.0,912.0,427.0,0.0,0.0,60.0,13.049,-88.66
7.0,5.0,802.0,0.0,2.821,15.0,80.0,5.0074,127.517
7.1,7.0,1496.0,553.0,0.0,15.2,40.7,-35.2,-72.217
6.8,3.0,711.0,0.0,2.879,39.0,540.0,-17.8735,-178.927
7.1,7.0,1023.0,744.0,0.0,29.1,10.0,21.799,120.547
7.4,6.0,842.0,626.0,0.0,16.0,173.7,-23.009,-177.232
7.2,7.0,832.0,505.0,0.0,18.4,25.0,-2.486,99.972
6.7,6.0,830.0,0.0,1.395,61.0,10.0,7.5904,-82.8813
6.5,6.0,650.0,156.0,0.0,31.4,33.0,-3.828,152.174
7.8,7.0,936.0,352.0,0.0,19.2,31.0,2.383,97.048
6.8,6.0,722.0,341.0,0.0,15.9,53.0,-5.757,147.098
6.9,3.0,749.0,0.0,2.267,20.0,624.0,-6.6704,123.493
7.1,6.0,826.0,0.0,2.514,16.0,146.0,-6.9746,146.449
6.5,6.0,650.0,487.0,0.0,45.9,35.0,12.025,125.416
8.0,7.0,993.0,460.0,0.0,20.9,24.0,-10.799,165.114
7.0,5.0,754.0,568.0,0.0,61.2,10.0,37.812,142.619
6.5,7.0,656.0,0.0,0.135,58.0,10.0,-42.3205,173.669
6.6,6.0,670.0,463.0,0.0,14.1,96.0,1.885,127.363
6.5,7.0,656.0,0.0,3.909,15.0,12.26,-3.4528,128.37
7.1,6.0,776.0,0.0,3.835,11.0,10.0,-7.2175,154.557
6.7,5.0,712.0,667.0,0.0,10.9,30.0,40.273,142.779
6.6,7.0,670.0,0.0,0.827,46.0,24.0,-30.0528,-177.74
8.6,7.0,2048.0,499.0,0.0,16.6,20.0,2.327,93.063
8.3,7.0,1064.0,576.0,0.0,20.9,10.0,46.592,153.266
6.5,8.0,731.0,0.0,0.778,27.0,13.0,5.2834,96.1678
6.8,4.0,716.0,0.0,1.816,34.0,22.0,-4.3724,101.095
6.9,9.0,887.0,215.0,0.401,34.0,10.0,23.1444,121.307
6.7,5.0,691.0,0.0,6.713,45.0,18.0,-14.9831,-175.51
6.9,3.0,740.0,0.0,4.778,31.0,535.0,-21.1704,174.54
7.1,6.0,779.0,0.0,1.397,18.0,45.0,1.8929,126.522
6.5,7.0,756.0,178.0,0.43,54.0,10.0,23.029,121.348
6.8,5.0,734.0,519.0,0.0,12.5,11.0,-20.244,168.226
7.3,7.0,822.0,0.0,4.126,23.0,16.56,55.0999,164.699
7.9,7.0,1133.0,446.0,0.0,29.1,35.0,-2.625,100.841
6.8,7.0,744.0,338.0,0.0,19.0,18.0,-44.796,167.553
6.5,4.0,652.0,0.0,10.405,19.0,301.0,-18.9204,-176.235
6.7,5.0,715.0,0.0,3.741,22.0,12.0,5.7732,-78.1999
6.7,3.0,691.0,0.0,2.033,19.0,602.75,-9.1825,-71.2574
6.7,6.0,691.0,233.0,0.0,21.5,10.0,-11.128,162.208
7.2,6.0,813.0,280.0,0.0,18.4,32.0,-18.365,168.143
7.6,7.0,929.0,0.0,0.453,16.0,10.0,-4.051,152.597
6.6,8.0,2083.0,548.0,0.0,12.6,14.0,30.308,102.888
7.3,4.0,820.0,430.0,0.0,15.0,595.0,-17.239,178.331
7.9,7.0,1140.0,163.0,0.0,48.4,42.6,36.281,141.111
6.7,3.0,694.0,0.0,1.634,16.0,553.81,-7.2168,123.074
7.2,7.0,809.0,0.0,1.504,38.0,18.98,-0.5858,128.034
6.7,7.0,696.0,277.0,0.0,25.6,12.0,-27.017,-71.022
7.0,6.0,754.0,441.0,0.0,32.2,35.0,11.422,-86.665
6.8,3.0,711.0,136.0,4.678,22.0,630.379,-25.9678,178.363
6.5,5.0,650.0,486.0,0.0,0.0,125.1,-21.663,-68.329
7.2,4.0,1318.0,420.0,0.0,31.4,16.0,41.292,-125.953
6.8,6.0,858.0,639.0,0.0,21.8,10.0,18.958,-81.409
